Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Roseola,High fever,Rash,Irritability,Headache,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Abdominal pain,Loss of appetite,Sweating,Rashes,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Fatigue,Dehydration,Muscle aches,Chills,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Irritability,Blisters,Fatigue,Sore muscles,Headache,Mild fever,Difficulty swallowing,,,,,,,
Roseola,Runny nose,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Vomiting,Chills,,,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Sore throat,Cough,Red eyes,Body aches,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Body aches,General discomfort,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Loss of appetite,Irritability,Sore throat,Mouth sores,Red spots,Cough,Mild fever,Difficulty swallowing,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Loss of appetite,Dehydration,Fever,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Abdominal pain,Sweating,Fever,Irritability,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,
Shigellosis (Bacillary Dysentery),Fever,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,Joint pain,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sore throat,Mouth sores,Red spots,Fatigue,Sore muscles,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Vomiting,Abdominal pain,Rashes,Chills,,,,
Roseola,Irritability,Fatigue,Cough,Rashes,Chills,,,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Abdominal pain,Loss of appetite,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,,
Pertussis (Whooping Cough),Whooping cough,Sneezing,Fever,Severe coughing fits,Fatigue,,,,,,,,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Headache,Cough,Diarrhea,Loss of appetite,Abdominal pain,Chills,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Abdominal pain,Body aches,Rashes,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Fatigue,Loss of appetite,Dehydration,Chills,Body aches,General discomfort,Irritability,,,,,
Roseola,Runny nose,Rash,Sore throat,Headache,Red eyes,Diarrhea,Feverish,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Abdominal pain,Dehydration,Rashes,General discomfort,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Abdominal pain,Dehydration,Chills,Sweating,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
"Hand, Foot, and Mouth Disease",Loss of appetite,Sore throat,Mouth sores,Cough,Sore muscles,General discomfort,Difficulty swallowing,,,,,,,,,
Norovirus Infection,Vomiting,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Rashes,Fever,Irritability,,,,,,
Roseola,Irritability,Fatigue,Vomiting,Body aches,,,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Mouth sores,Red spots,Blisters,Fatigue,Headache,Mild fever,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Headache,Fatigue,Abdominal pain,Chills,Body aches,Rashes,Fever,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Headache,Dehydration,Rashes,Chills,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Sweating,Irritability,,,,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Sore throat,Headache,Diarrhea,Loss of appetite,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Muscle aches,Feverish,Joint pain,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Swollen lymph nodes,Sore throat,Headache,Red eyes,Abdominal pain,Rashes,Chills,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Body aches,Rashes,Chills,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Abdominal pain,Chills,Fever,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Stomach cramps,Fatigue,Muscle aches,Body aches,Feverish,General discomfort,Chills,Joint pain,,,
Scarlet Fever,Red lines in body folds,Sore and red throat with patches,Difficulty swallowing,"Tender, enlarged neck glands",Nausea or vomiting,Abdominal pain,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Headache,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Body aches,Chills,,,,
Roseola,Rash,Swollen lymph nodes,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Abdominal pain,,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Headache,Loss of appetite,Chills,,,,,,,,,
Roseola,Irritability,Fatigue,Sore throat,Headache,Vomiting,Loss of appetite,Body aches,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Headache,Chills,Body aches,,,,,,,,,,,
Roseola,Rash,Irritability,Headache,Red eyes,Abdominal pain,Chills,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Stomach cramps,Headache,Fatigue,Loss of appetite,Body aches,Feverish,Chills,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Dehydration,Sweating,Body aches,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,,,,,
Conjunctivitis (Pink Eye),Burning sensation in the eyes,Light sensitivity (photophobia),Swollen eyelids (blepharitis),Mild eye pain or discomfort,,,,,,,,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Headache,Abdominal pain,Loss of appetite,General discomfort,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Loss of appetite,Sweating,General discomfort,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Fatigue,Dehydration,Body aches,Rashes,Joint pain,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Irritability,Mouth sores,Red spots,Fatigue,Cough,Headache,General discomfort,Mild fever,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Fatigue,Loss of appetite,Chills,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Cough,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Headache,Abdominal pain,Sweating,General discomfort,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Stomach cramps,Fatigue,Muscle aches,Body aches,General discomfort,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Chills,Rashes,General discomfort,Fever,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Nausea,Dehydration,Chills,Sweating,,,,,,,,,
Norovirus Infection,Stomach cramps,Muscle aches,Headache,Dehydration,Chills,Sweating,Rashes,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Muscle aches,Body aches,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Muscle aches,General discomfort,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Fatigue,Body aches,General discomfort,Chills,,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Headache,Fatigue,Chills,Sweating,Body aches,Rashes,Fever,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Headache,Fatigue,Chills,Irritability,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Irritability,Sore throat,Blisters,Fatigue,,,,,,,,,,
Scarlet Fever,Fever,Sore throat,Red lines in body folds,Strawberry tongue,Fever (100.4�F / 38.0�C or higher),"Tender, enlarged neck glands",Nausea or vomiting,Headache and body aches,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Body aches,Rashes,Fever,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Irritability,Mouth sores,Red spots,Blisters,Cough,General discomfort,Difficulty swallowing,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Nausea,Fatigue,Dehydration,Body aches,Rashes,General discomfort,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Headache,Muscle aches,Body aches,Joint pain,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Muscle aches,Nausea,Headache,Loss of appetite,Dehydration,Body aches,Rashes,Fever,Irritability,,,,
Roseola,Rash,Irritability,Fatigue,Headache,Cough,Red eyes,Diarrhea,Body aches,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,General discomfort,Joint pain,,,,,,
Roseola,Rash,Headache,Cough,Red eyes,Body aches,Rashes,,,,,,,,,,
Roseola,Runny nose,Rash,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Headache,Diarrhea,Abdominal pain,Rashes,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Feverish,Rashes,Chills,,,,,,
Roseola,Runny nose,Fatigue,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,Chills,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Headache,Fatigue,Abdominal pain,Sweating,Body aches,Fever,,,,,
"Hand, Foot, and Mouth Disease",Irritability,Mouth sores,Red spots,Fatigue,Cough,Sore muscles,Mild fever,Difficulty swallowing,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Bloody stools,Headache,Rashes,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Headache,Loss of appetite,Muscle aches,Body aches,Rashes,Chills,,,,,,,,
Roseola,Runny nose,Irritability,Sore throat,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,,,
Roseola,Rash,Irritability,Fatigue,Cough,Red eyes,Diarrhea,Abdominal pain,Body aches,Chills,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Loss of appetite,Dehydration,Chills,Sweating,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Stomach cramps,Headache,Dehydration,Loss of appetite,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Headache,Fatigue,Chills,Sweating,Body aches,Rashes,General discomfort,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Loss of appetite,Sweating,Rashes,General discomfort,Fever,,,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Body aches,Chills,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Red spots,Blisters,Fatigue,Cough,Headache,General discomfort,Mild fever,Difficulty swallowing,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,General discomfort,Chills,,,,,,
Roseola,Rash,Sore throat,Cough,Vomiting,Loss of appetite,Body aches,Chills,Feverish,,,,,,,,
Norovirus Infection,Vomiting,Fatigue,Sweating,Body aches,Rashes,,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Loss of appetite,Chills,Body aches,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Mouth sores,Fatigue,Cough,,,,,,,,,,
Roseola,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Body aches,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Rash on hands and feet,Loss of appetite,Irritability,Sore throat,Mouth sores,Red spots,Fatigue,Cough,Headache,General discomfort,,,,
Fifth Disease (Erythema Infectiosum),Rash on face,Runny or stuffy nose,Headache,Swollen joints,Myalgias,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,
Norovirus Infection,Low-grade fever,Muscle aches,Nausea,Fatigue,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,Rashes,General discomfort,Fever,Irritability,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Loss of appetite,Dehydration,General discomfort,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Bloody stools,Stomach cramps,Headache,Dehydration,Body aches,Feverish,Rashes,,,,,,,,
Roseola,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,
Norovirus Infection,Muscle aches,Headache,Fatigue,Rashes,Irritability,,,,,,,,,,,
Roseola,Runny nose,Fatigue,Cough,Diarrhea,Rashes,Chills,,,,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Abdominal pain,Loss of appetite,Dehydration,General discomfort,Fever,Irritability,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Abdominal pain,Chills,Body aches,Rashes,General discomfort,,,,,
Pertussis (Whooping Cough),Whooping cough,Nasal discharge,"Cyanosis (blue lips, tongue, nailbeds)",Exhaustion,Sneezing,Low-grade fever,Runny nose,Fatigue,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Chills,,,,
Norovirus Infection,Vomiting,Stomach cramps,Fatigue,Abdominal pain,Loss of appetite,Sweating,Body aches,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Muscle aches,Feverish,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Fatigue,Dehydration,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,Joint pain,,,,,
"Hand, Foot, and Mouth Disease",Irritability,Mouth sores,Red spots,Fatigue,Mild fever,,,,,,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Diarrhea,Abdominal pain,Body aches,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,,,,
Common Cold,"Stuffy, runny nose","Scratchy, tickly throat",Sneezing,Watering eyes,Sore throat,Achy muscles and bones,Headache,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Body aches,General discomfort,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Rashes,Chills,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Abdominal pain,Loss of appetite,Dehydration,Chills,Fever,Irritability,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Nausea,Loss of appetite,Dehydration,Chills,Rashes,Irritability,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Abdominal pain,Body aches,Chills,Feverish,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Irritability,Sore throat,Mouth sores,Blisters,Cough,Sore muscles,General discomfort,Difficulty swallowing,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Irritability,Mouth sores,Blisters,Cough,Headache,General discomfort,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Sore throat,Mouth sores,Red spots,Blisters,Fatigue,Cough,Headache,General discomfort,Difficulty swallowing,,,,,
Roseola,Runny nose,Irritability,Fatigue,Cough,Red eyes,Diarrhea,Rashes,Chills,,,,,,,,
Roseola,Rash,Irritability,Fatigue,Sore throat,Cough,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Chills,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Headache,Loss of appetite,Rashes,Chills,Feverish,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Loss of appetite,Dehydration,Sweating,General discomfort,Fever,Irritability,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Rashes,Irritability,,,,,,
Roseola,Rash,Swollen lymph nodes,Cough,Vomiting,Rashes,Chills,Feverish,,,,,,,,,
Roseola,High fever,Runny nose,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Body aches,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Rashes,General discomfort,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Cough,Red eyes,Loss of appetite,Body aches,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Nausea,Abdominal pain,Dehydration,Sweating,Body aches,Fever,,,,,,,,
Mumps,"Swollen, painful salivary glands",Pain while chewing or swallowing,Fever,Muscle aches,Tiredness,Trouble chewing,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Stomach cramps,Fatigue,Dehydration,Muscle aches,Body aches,Chills,Joint pain,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Irritability,Red spots,Cough,Sore muscles,General discomfort,Mild fever,Difficulty swallowing,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,,
Norovirus Infection,Diarrhea,Nausea,Loss of appetite,Rashes,,,,,,,,,,,,
Norovirus Infection,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Body aches,Rashes,General discomfort,Fever,,,,,,,
Head Lice Infestation,Tickling sensation in hair,Difficulty sleeping,Infection from scratched skin,Tickling feeling,Irritability,Trouble sleeping,,,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Loss of appetite,Red spots,Blisters,Fatigue,Sore muscles,Headache,Mild fever,,,,,,,
Roseola,High fever,Red eyes,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,Joint pain,,,,,,
Roseola,Runny nose,Irritability,Fatigue,Sore throat,Headache,Red eyes,Diarrhea,Vomiting,Abdominal pain,Feverish,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Nausea,Chills,Sweating,Body aches,Rashes,General discomfort,,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Mouth sores,Red spots,Headache,Difficulty swallowing,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Fatigue,Dehydration,Feverish,,,,,,,,,
Norovirus Infection,Nausea,Headache,Loss of appetite,Sweating,General discomfort,,,,,,,,,,,
Roseola,Swollen lymph nodes,Sore throat,Cough,Red eyes,Vomiting,Abdominal pain,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,General discomfort,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Muscle aches,Rashes,Chills,Joint pain,,,,,
Roseola,Runny nose,Fatigue,Sore throat,Headache,Red eyes,Loss of appetite,Body aches,Rashes,Chills,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Red eyes,Loss of appetite,Chills,Feverish,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Abdominal pain,Rashes,Feverish,,
Roseola,Rash,Swollen lymph nodes,Sore throat,Cough,Red eyes,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Chills,,,,
Norovirus Infection,Muscle aches,Nausea,Headache,Fatigue,Sweating,General discomfort,Irritability,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Dehydration,Sweating,Body aches,Fever,,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,Chills,General discomfort,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Rash on hands and feet,Irritability,Sore throat,Red spots,Blisters,Fatigue,Headache,General discomfort,Difficulty swallowing,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,
"Hand, Foot, and Mouth Disease",Fever,Sore throat,Red spots,Blisters,Fatigue,Sore muscles,Headache,Difficulty swallowing,,,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Sore throat,Diarrhea,Vomiting,Chills,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Headache,Fatigue,Loss of appetite,Body aches,Rashes,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Chills,,,
Roseola,High fever,Rash,Sore throat,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,
Roseola,High fever,Rash,Irritability,Fatigue,Headache,Cough,Loss of appetite,Abdominal pain,Rashes,Chills,Feverish,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Cough,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Body aches,Feverish,Rashes,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Bloody stools,Stomach cramps,Headache,Fatigue,Loss of appetite,Rashes,Chills,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Chills,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Body aches,Joint pain,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Abdominal pain,Chills,Fever,Irritability,,,,,,,,
Roseola,Runny nose,Irritability,Swollen lymph nodes,Headache,Vomiting,Loss of appetite,Chills,Feverish,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Red spots,Blisters,Sore muscles,Headache,,,,,,,,,,
Roseola,Runny nose,Rash,Sore throat,Red eyes,Diarrhea,Vomiting,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Body aches,Rashes,Feverish,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Stomach cramps,Dehydration,Muscle aches,Feverish,Chills,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Dehydration,Loss of appetite,Rashes,General discomfort,Chills,Joint pain,,,,,,,,,,
Roseola,High fever,Irritability,Sore throat,Headache,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Chills,Feverish,,,,,,
